query,named_entity,type
I love Radiohead's Kid A. Something similar? Kinda a bit like Aphex Twin maybe.,radioheads,Artist
I love Radiohead's Kid A. Something similar? Kinda a bit like Aphex Twin maybe.,kid a,WoA
I love Radiohead's Kid A. Something similar? Kinda a bit like Aphex Twin maybe.,aphex twin,Artist
Anything similar to I Fight Dragons?,i fight dragons,Artist
Music similar to CCR's Travelin' Band?,ccrs,Artist
Music similar to CCR's Travelin' Band?,travelin band,WoA
Songs similar to Blackout by Boris,blackout,WoA
Songs similar to Blackout by Boris,boris,Artist
"Similar to ""Zoosters Breakout"" by Hans Zimmer but simpler/not as epic",zoosters breakout,WoA
"Similar to ""Zoosters Breakout"" by Hans Zimmer but simpler/not as epic",hans zimmer,Artist
"Songs similar to Trio’s, “Da, Da, Da?”",trios,Artist
"Songs similar to Trio’s, “Da, Da, Da?”",da da da,WoA
Aything similar to Radiohead's Everything in its Right Place,radioheads,Artist
Aything similar to Radiohead's Everything in its Right Place,everything in its right place,WoA
Music that has an orchestra with one primary singer,,
'Something isn't right' ambiance for dnd,,
OSTs/music with ambient low tones,,
"I'm looking for ""club?-sounding"" remixes of popular ""indie?"" songs for a wedding reception playlist.",,
any songs that start off slow and melodic and end in shouting screaming and heavy guitar? Or just music that progressively gets heavier and heavier along with the vocals?,,
Dré Anthony - Brand New,dré anthony,Artist
Dré Anthony - Brand New,brand new,WoA
"Looking for songs similar in subject and style to the intro to ""Black Parade"" by My Chemical Romance.",my chemical romance,Artist
"Looking for songs similar in subject and style to the intro to ""Black Parade"" by My Chemical Romance.",black parade,WoA
Rap/Hip-Hop that sounds like ‘Crushed Up’ by Future,crushed up,WoA
Rap/Hip-Hop that sounds like ‘Crushed Up’ by Future,future,Artist
Songs with the same vibe as this? Digging the soft punk style.,,
Searching for rap/r&b acts like Matt Champion of Brockhampton?,matt champion,Artist
Searching for rap/r&b acts like Matt Champion of Brockhampton?,brockhampton,Artist
Songs with a really Evil/Sinister vibe?,,
"Looking for high quality, melody-rich gospel songs",,
How to find songs similar to this (in style of arrangement)?,,
Similar song to Something Beautifull - NEED TO BREATHE,something beautifull,WoA
Similar song to Something Beautifull - NEED TO BREATHE,need to breathe,Artist
Any similiar song to this?,,
"I am looking for ""sexy"" music",,
Stuff like FlyLo,flylo,Artist
Chill/ambient jazzy music,,
Desert Aesthetic Intrumental Music?,,
Is there any other similar songs with technical beats like this one?,,
"Looking for more Ambient/Electronic/Downtempo/Trip-Hop songs with a slow, piano/violin similar to the songs in this playlist.",,
Andrew Huang - 300000 note song (Any other songs that resembles this),andrew huang,Artist
Andrew Huang - 300000 note song (Any other songs that resembles this),300000 note song,WoA
Similar to Buttercup by Jack Stauber,buttercup,WoA
Similar to Buttercup by Jack Stauber,jack stauber,Artist
Jpop/K-pop songs?,,
looking for great new music? try DMNDR your spot for new artists photos reviews and more,,
I’m looking for some new music artists in the indie/alternative/roots genre. Suggestions?,,
Prog rock/metal bands?,,
Music To Help Me Though The Holidays,,
"I'm looking for an album like Pheonix's ""Love Like a Sunset"". Ideally instrumental only.",pheonixs,Artist
"I'm looking for an album like Pheonix's ""Love Like a Sunset"". Ideally instrumental only.",love like a sunset,WoA
Songs for my grandparents!,,
"Looking for calm, ghost-related songs",,
Vocal Deep House 2020,,
Looking for some music with some tribal choirs,,
